"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","microphone_confirmed","device_id","view_history","trial_type_label","estimated_stimulus_onset","audio_upload","stimulus_code","sentence","condition","trial_stage","audio_url","recording_attempt","recording_filename","review_decision","saved_audio_file"
"1664","
    <div class=""consent"">
      <h2>Consent Form</h2>
      <p>If you agree to participate in this research, please click ""Continue"".</p>
    </div>
  ","0","html-button-response","0","1665","0.0-0.0","ha77v84840","","","","","","","","","","","","","","",""
"727","
    <div class=""instructions"">
      <h2>Instructions</h2>
      <p>In this experiment, you will see a sentence on the screen.</p>
      <p>Your task is to record yourself reading that sentence aloud using your microphone.</p>
      <p>For each sentence, you'll click <strong>Start Recording</strong> when you're ready, rather than having the recording begin right away.</p>
      <p>After each recording, you can listen back and either continue to the next sentence or re-record.</p>
      <p>Click ""Next"" to continue to the microphone test.</p>
    </div>
  ","0","html-button-response","1","2393","0.0-1.0","ha77v84840","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","2","3953","0.0-2.0","ha77v84840","yes","","","","","","","","","","","","","",""
"687","
    <div class=""content"">
      <h2>Microphone Setup</h2>
      <div class=""instruction-box"">
        <p>Before starting the experiment, we need to set up your microphone.</p>
        <p>On the next page:</p>
        <ul>
          <li>Your browser will ask for microphone permission - please click <strong>Allow</strong></li>
          <li>You'll see a dropdown menu with available microphones</li>
          <li>Select the microphone you want to use</li>
          <li>Click ""Use this microphone"" to continue</li>
        </ul>
      </div>
    </div>
  ","0","html-button-response","3","4641","0.0-3.0","ha77v84840","","","","","","","","","","","","","","",""
"","","","initialize-microphone","4","6834","0.0-4.0","ha77v84840","","be6f40006a27baa92da3d250a9ff96e9d35f75f1de6b513e47ad5d8f5a3f8bf3","","","","","","","","","","","","",""
"1390","","","instructions","5","8225","0.0-5.0","ha77v84840","","","[{""page_index"":0,""viewing_time"":1390}]","","","","","","","","","","","",""
"1119","
        <div class=""content"">
          <div class=""recording-box"">
            <h3>Microphone Test</h3>
            <p>Take a moment to get ready.</p>
            <p>Click the button below when you want to begin the test recording.</p>
          </div>
        </div>
      ","0","html-button-response","6","9345","0.0-6.0","ha77v84840","","","","microphone_test_ready","","","","","","","","","","",""
"3886","
          <div class=""content"">
          <div class=""recording-box"">
          <h3>Recording in Progress...</h3>
          <p>Speak naturally, for example: <em>""Testing, 1, 2, 3.""</em></p>
      </div>
    ","ha77v84840_microphone_test_audio.webm","html-audio-response","7","20066","0.0-7.0","ha77v84840","","","","microphone_test","2","queued","","","","","","","","",""
"13356","
    <div class=""content"">
      <div class=""begin-box"">
        <h2>Let's Begin!</h2>
        <p>Now the microphone test is done and the main part begins.</p>
        <p>Each sentence will appear first, and you'll click <strong>Start Recording</strong> when you're ready to speak.</p>
        <p>After each sentence, you'll be able to listen to your recording and decide whether to keep it or record again.</p>
        <p>Click ""Continue"" to start recording the sentences.</p>
      </div>
    </div>
  ","0","html-button-response","8","33424","0.0-8.0","ha77v84840","","","","","","","","","","","","","","",""
"7400","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Texas is the only state that permits residents to cast absentee ballots from space.</p>
          </div>
        ","0","html-button-response","9","40824","0.0-9.0-0.0","ha77v84840","","","","","","","14T","Texas is the only state that permits residents to cast absentee ballots from space.","true","sentence_ready","","","","",""
"8057","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Texas is the only state that permits residents to cast absentee ballots from space.</p>
          </div>
        ","null","html-audio-response","10","48938","0.0-9.0-1.0","ha77v84840","","","","","1","","14T","Texas is the only state that permits residents to cast absentee ballots from space.","true","sentence_recording","blob:https://charburnham.github.io/4d302693-864b-4509-ba29-7004446219e7","1","ha77v84840_14T_audio.webm","",""
"2005","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Texas is the only state that permits residents to cast absentee ballots from space.</p>
              <audio controls src=""blob:https://charburnham.github.io/4d302693-864b-4509-ba29-7004446219e7"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","11","50944","0.0-9.0-2.0","ha77v84840","","","","","","queued","14T","Texas is the only state that permits residents to cast absentee ballots from space.","true","sentence_review","","1","ha77v84840_14T_audio.webm","accepted","ha77v84840_14T_audio.webm"
"1982","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Roughly 7% of the world's water is fresh water.</p>
          </div>
        ","0","html-button-response","12","52928","0.0-10.0-0.0","ha77v84840","","","","","","","46F","Roughly 7% of the world's water is fresh water.","false","sentence_ready","","","","",""
"4643","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Roughly 7% of the world's water is fresh water.</p>
          </div>
        ","null","html-audio-response","13","57633","0.0-10.0-1.0","ha77v84840","","","","","1","","46F","Roughly 7% of the world's water is fresh water.","false","sentence_recording","blob:https://charburnham.github.io/737d74b9-24c2-43d2-8891-b78b6397e11d","1","ha77v84840_46F_audio.webm","",""
