"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","microphone_confirmed","device_id","view_history","trial_type_label","estimated_stimulus_onset","audio_upload","stimulus_code","sentence","condition","trial_stage","audio_url","recording_attempt","recording_filename","review_decision","saved_audio_file"
"2724","
    <div class=""consent"">
      <h2>Consent Form</h2>
      <p>If you agree to participate in this research, please click ""Continue"".</p>
    </div>
  ","0","html-button-response","0","2726","0.0-0.0","6nhu1nbwba","","","","","","","","","","","","","","",""
"1192","
    <div class=""instructions"">
      <h2>Instructions</h2>
      <p>In this experiment, you will see a sentence on the screen.</p>
      <p>Your task is to record yourself reading that sentence aloud using your microphone.</p>
      <p>For each sentence, you'll click <strong>Start Recording</strong> when you're ready, rather than having the recording begin right away.</p>
      <p>After each recording, you can listen back and either continue to the next sentence or re-record.</p>
      <p>Click ""Next"" to continue to the microphone test.</p>
    </div>
  ","0","html-button-response","1","3921","0.0-1.0","6nhu1nbwba","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","2","5598","0.0-2.0","6nhu1nbwba","yes","","","","","","","","","","","","","",""
"1006","
    <div class=""content"">
      <h2>Microphone Setup</h2>
      <div class=""instruction-box"">
        <p>Before starting the experiment, we need to set up your microphone.</p>
        <p>On the next page:</p>
        <ul>
          <li>Your browser will ask for microphone permission - please click <strong>Allow</strong></li>
          <li>You'll see a dropdown menu with available microphones</li>
          <li>Select the microphone you want to use</li>
          <li>Click ""Use this microphone"" to continue</li>
        </ul>
      </div>
    </div>
  ","0","html-button-response","3","6607","0.0-3.0","6nhu1nbwba","","","","","","","","","","","","","","",""
"","","","initialize-microphone","4","9357","0.0-4.0","6nhu1nbwba","","bfe6b30e5c71667f4139593ba2ceffa17d91d704b4db2677902d058b17a33173","","","","","","","","","","","","",""
"968","","","instructions","5","10326","0.0-5.0","6nhu1nbwba","","","[{""page_index"":0,""viewing_time"":968}]","","","","","","","","","","","",""
"1340","
        <div class=""content"">
          <div class=""recording-box"">
            <h3>Microphone Test</h3>
            <p>Take a moment to get ready.</p>
            <p>Click the button below when you want to begin the test recording.</p>
          </div>
        </div>
      ","0","html-button-response","6","11669","0.0-6.0","6nhu1nbwba","","","","microphone_test_ready","","","","","","","","","","",""
"1996","
          <div class=""content"">
          <div class=""recording-box"">
          <h3>Recording in Progress...</h3>
          <p>Speak naturally, for example: <em>""Testing, 1, 2, 3.""</em></p>
      </div>
    ","6nhu1nbwba_microphone_test_audio.webm","html-audio-response","7","18009","0.0-7.0","6nhu1nbwba","","","","microphone_test","18","queued","","","","","","","","",""
"1592","
    <div class=""content"">
      <div class=""begin-box"">
        <h2>Let's Begin!</h2>
        <p>Now the microphone test is done and the main part begins.</p>
        <p>Each sentence will appear first, and you'll click <strong>Start Recording</strong> when you're ready to speak.</p>
        <p>After each sentence, you'll be able to listen to your recording and decide whether to keep it or record again.</p>
        <p>Click ""Continue"" to start recording the sentences.</p>
      </div>
    </div>
  ","0","html-button-response","8","19606","0.0-8.0","6nhu1nbwba","","","","","","","","","","","","","","",""
"4857","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">The average ruby-throated hummingbird has the same weight as 3 nickels.</p>
          </div>
        ","0","html-button-response","9","24466","0.0-9.0-0.0","6nhu1nbwba","","","","","","","8F","The average ruby-throated hummingbird has the same weight as 3 nickels.","false","sentence_ready","","","","",""
